County Name,Minority,Total,white,black,hispanic,american_indian,asian,pacific_Islander,other,two_or_more
37,14609,137055,122446,841,2992,634,7146,32,1223,1741
38,1712,42271,40559,108,522,238,218,9,176,441
39,875,15795,14920,77,391,86,68,0,126,127
40,3959,4410,451,19,178,3701,1,0,6,54
41,499118,1073774,574656,253764,126039,6808,32422,363,51429,28293
42,4394,46334,41940,512,1661,510,289,40,764,618
43,1761,38179,36418,73,519,467,111,5,198,388
44,1596,36383,34787,152,385,323,188,5,82,461
45,21816,183054,161238,1736,6359,2982,5229,65,2728,2717
46,6341,88351,82010,1177,1956,208,1509,20,483,988
47,204,7541,7337,21,72,19,13,1,35,43
48,2028,41642,39614,232,623,151,301,7,201,513
49,2054,44861,42807,96,656,454,159,7,226,456
50,5891,71872,65981,383,1853,265,1969,14,546,861
51,562,14312,13750,39,153,54,62,64,42,148
52,62223,217954,155731,21767,22546,781,2121,53,10046,4909
53,841,18381,17540,82,360,46,95,4,119,135
54,31942,172455,140513,7978,12124,516,1630,39,5948,3707
55,530,14928,14398,61,173,74,41,1,37,143
56,5123,86037,80914,552,1692,313,900,23,483,1160
57,6063,64651,58588,357,2675,769,337,13,1156,756
58,3702,16825,13123,77,268,2757,49,0,42,509
59,5600,42854,37254,143,905,3172,180,13,366,821
60,17975,121836,103861,1684,6329,444,5310,35,2297,1876
61,757,21005,20248,58,316,43,56,8,128,148
62,3253,30483,27230,62,1667,63,123,4,1086,248
63,1082,30167,29085,109,394,61,92,7,145,274
64,3040,21698,18658,35,268,2370,61,1,45,260
65,18871,112806,93935,980,10578,308,845,43,4604,1513
66,776,16119,15343,36,208,186,63,2,49,232
67,8955,135272,126317,1155,3385,401,1415,30,1052,1517
68,42051,406014,363963,4914,16123,1066,10721,131,4041,5055
69,2801,53717,50916,154,1307,258,194,6,425,457
70,2813,25825,23012,454,1329,131,94,14,509,282
71,18333,172778,154445,2975,5784,1036,3822,58,2188,2470
72,5381,76429,71048,393,1680,587,1319,9,593,800
73,5381,76429,71048,393,1680,587,1319,9,593,800
74,5381,76429,71048,393,1680,587,1319,9,593,800
75,5381,76429,71048,393,1680,587,1319,9,593,800
76,5381,76429,71048,393,1680,587,1319,9,593,800
77,5381,76429,71048,393,1680,587,1319,9,593,800
78,5381,76429,71048,393,1680,587,1319,9,593,800
79,5381,76429,71048,393,1680,587,1319,9,593,800
80,5381,76429,71048,393,1680,587,1319,9,593,800
81,5381,76429,71048,393,1680,587,1319,9,593,800
82,5381,76429,71048,393,1680,587,1319,9,593,800
83,5381,76429,71048,393,1680,587,1319,9,593,800
84,5381,76429,71048,393,1680,587,1319,9,593,800
85,5381,76429,71048,393,1680,587,1319,9,593,800
86,5381,76429,71048,393,1680,587,1319,9,593,800
87,5381,76429,71048,393,1680,587,1319,9,593,800
88,5381,76429,71048,393,1680,587,1319,9,593,800
89,5381,76429,71048,393,1680,587,1319,9,593,800
90,5381,76429,71048,393,1680,587,1319,9,593,800
91,5381,76429,71048,393,1680,587,1319,9,593,800
92,5381,76429,71048,393,1680,587,1319,9,593,800
93,5381,76429,71048,393,1680,587,1319,9,593,800
94,5381,76429,71048,393,1680,587,1319,9,593,800
95,5381,76429,71048,393,1680,587,1319,9,593,800
96,5381,76429,71048,393,1680,587,1319,9,593,800
97,5381,76429,71048,393,1680,587,1319,9,593,800
98,5381,76429,71048,393,1680,587,1319,9,593,800
99,5381,76429,71048,393,1680,587,1319,9,593,800
100,5381,76429,71048,393,1680,587,1319,9,593,800
101,5381,76429,71048,393,1680,587,1319,9,593,800
102,5381,76429,71048,393,1680,587,1319,9,593,800
103,5381,76429,71048,393,1680,587,1319,9,593,800
104,5381,76429,71048,393,1680,587,1319,9,593,800
105,5381,76429,71048,393,1680,587,1319,9,593,800
106,5381,76429,71048,393,1680,587,1319,9,593,800
107,5381,76429,71048,393,1680,587,1319,9,593,800
108,5381,76429,71048,393,1680,587,1319,9,593,800
109,5381,76429,71048,393,1680,587,1319,9,593,800
110,5381,76429,71048,393,1680,587,1319,9,593,800
111,5381,76429,71048,393,1680,587,1319,9,593,800
112,5381,76429,71048,393,1680,587,1319,9,593,800
113,5381,76429,71048,393,1680,587,1319,9,593,800
114,5381,76429,71048,393,1680,587,1319,9,593,800
115,5381,76429,71048,393,1680,587,1319,9,593,800
116,5381,76429,71048,393,1680,587,1319,9,593,800
117,5381,76429,71048,393,1680,587,1319,9,593,800
118,5381,76429,71048,393,1680,587,1319,9,593,800
119,5381,76429,71048,393,1680,587,1319,9,593,800
120,5381,76429,71048,393,1680,587,1319,9,593,800
121,5381,76429,71048,393,1680,587,1319,9,593,800
122,5381,76429,71048,393,1680,587,1319,9,593,800
123,5381,76429,71048,393,1680,587,1319,9,593,800
124,5381,76429,71048,393,1680,587,1319,9,593,800
125,5381,76429,71048,393,1680,587,1319,9,593,800
126,5381,76429,71048,393,1680,587,1319,9,593,800
127,5381,76429,71048,393,1680,587,1319,9,593,800
128,5381,76429,71048,393,1680,587,1319,9,593,800
129,5381,76429,71048,393,1680,587,1319,9,593,800
130,5381,76429,71048,393,1680,587,1319,9,593,800
131,5381,76429,71048,393,1680,587,1319,9,593,800
132,5381,76429,71048,393,1680,587,1319,9,593,800
133,5381,76429,71048,393,1680,587,1319,9,593,800
134,5381,76429,71048,393,1680,587,1319,9,593,800
135,5381,76429,71048,393,1680,587,1319,9,593,800
136,5381,76429,71048,393,1680,587,1319,9,593,800
137,5381,76429,71048,393,1680,587,1319,9,593,800
138,5381,76429,71048,393,1680,587,1319,9,593,800
139,5381,76429,71048,393,1680,587,1319,9,593,800
140,5381,76429,71048,393,1680,587,1319,9,593,800
141,5381,76429,71048,393,1680,587,1319,9,593,800
142,5381,76429,71048,393,1680,587,1319,9,593,800
143,5381,76429,71048,393,1680,587,1319,9,593,800
144,5381,76429,71048,393,1680,587,1319,9,593,800
145,5381,76429,71048,393,1680,587,1319,9,593,800
146,5381,76429,71048,393,1680,587,1319,9,593,800
147,5381,76429,71048,393,1680,587,1319,9,593,800
148,5381,76429,71048,393,1680,587,1319,9,593,800
149,5381,76429,71048,393,1680,587,1319,9,593,800
150,5381,76429,71048,393,1680,587,1319,9,593,800
151,5381,76429,71048,393,1680,587,1319,9,593,800
152,5381,76429,71048,393,1680,587,1319,9,593,800
153,5381,76429,71048,393,1680,587,1319,9,593,800
154,5381,76429,71048,393,1680,587,1319,9,593,800
155,5381,76429,71048,393,1680,587,1319,9,593,800
156,5381,76429,71048,393,1680,587,1319,9,593,800
157,5381,76429,71048,393,1680,587,1319,9,593,800
158,5381,76429,71048,393,1680,587,1319,9,593,800
159,5381,76429,71048,393,1680,587,1319,9,593,800
160,5381,76429,71048,393,1680,587,1319,9,593,800
161,5381,76429,71048,393,1680,587,1319,9,593,800
162,5381,76429,71048,393,1680,587,1319,9,593,800
163,5381,76429,71048,393,1680,587,1319,9,593,800
164,5381,76429,71048,393,1680,587,1319,9,593,800
165,5381,76429,71048,393,1680,587,1319,9,593,800
166,5381,76429,71048,393,1680,587,1319,9,593,800
167,5381,76429,71048,393,1680,587,1319,9,593,800
168,5381,76429,71048,393,1680,587,1319,9,593,800
169,5381,76429,71048,393,1680,587,1319,9,593,800
170,5381,76429,71048,393,1680,587,1319,9,593,800
171,5381,76429,71048,393,1680,587,1319,9,593,800
172,5381,76429,71048,393,1680,587,1319,9,593,800
173,5381,76429,71048,393,1680,587,1319,9,593,800
174,5381,76429,71048,393,1680,587,1319,9,593,800
175,5381,76429,71048,393,1680,587,1319,9,593,800
176,5381,76429,71048,393,1680,587,1319,9,593,800
177,5381,76429,71048,393,1680,587,1319,9,593,800
178,5381,76429,71048,393,1680,587,1319,9,593,800
179,5381,76429,71048,393,1680,587,1319,9,593,800
180,5381,76429,71048,393,1680,587,1319,9,593,800
181,5381,76429,71048,393,1680,587,1319,9,593,800
182,5381,76429,71048,393,1680,587,1319,9,593,800
