County Name,Voters,Total,total,voting
228,57745,74749,74749,57745
229,57745,74749,74749,57745
230,57745,74749,74749,57745
231,57745,74749,74749,57745
232,57745,74749,74749,57745
233,57745,74749,74749,57745
234,57745,74749,74749,57745
235,57745,74749,74749,57745
236,57745,74749,74749,57745
237,57745,74749,74749,57745
238,57745,74749,74749,57745
239,57745,74749,74749,57745
240,57745,74749,74749,57745
241,57745,74749,74749,57745
242,57745,74749,74749,57745
243,57745,74749,74749,57745
244,57745,74749,74749,57745
245,57745,74749,74749,57745
246,57745,74749,74749,57745
247,57745,74749,74749,57745
248,57745,74749,74749,57745
249,57745,74749,74749,57745
250,57745,74749,74749,57745
251,57745,74749,74749,57745
252,57745,74749,74749,57745
253,57745,74749,74749,57745
254,57745,74749,74749,57745
255,57745,74749,74749,57745
256,57745,74749,74749,57745
257,57745,74749,74749,57745
258,57745,74749,74749,57745
259,57745,74749,74749,57745
260,57745,74749,74749,57745
261,57745,74749,74749,57745
262,57745,74749,74749,57745
263,57745,74749,74749,57745
264,57745,74749,74749,57745
265,57745,74749,74749,57745
266,57745,74749,74749,57745
267,57745,74749,74749,57745
268,57745,74749,74749,57745
269,57745,74749,74749,57745
270,57745,74749,74749,57745
271,57745,74749,74749,57745
272,57745,74749,74749,57745
273,57745,74749,74749,57745
274,57745,74749,74749,57745
275,57745,74749,74749,57745
276,57745,74749,74749,57745
277,57745,74749,74749,57745
278,57745,74749,74749,57745
279,57745,74749,74749,57745
280,57745,74749,74749,57745
281,57745,74749,74749,57745
282,57745,74749,74749,57745
283,57745,74749,74749,57745
284,57745,74749,74749,57745
285,57745,74749,74749,57745
286,57745,74749,74749,57745
287,57745,74749,74749,57745
288,57745,74749,74749,57745
289,57745,74749,74749,57745
290,57745,74749,74749,57745
291,57745,74749,74749,57745
292,57745,74749,74749,57745
293,57745,74749,74749,57745
294,57745,74749,74749,57745
295,57745,74749,74749,57745
296,57745,74749,74749,57745
297,57745,74749,74749,57745
298,57745,74749,74749,57745
299,57745,74749,74749,57745
300,57745,74749,74749,57745
301,57745,74749,74749,57745
302,57745,74749,74749,57745
303,57745,74749,74749,57745
304,57745,74749,74749,57745
305,57745,74749,74749,57745
306,57745,74749,74749,57745
307,57745,74749,74749,57745
308,57745,74749,74749,57745
309,57745,74749,74749,57745
310,57745,74749,74749,57745
311,57745,74749,74749,57745
312,57745,74749,74749,57745
313,57745,74749,74749,57745
314,57745,74749,74749,57745
315,57745,74749,74749,57745
316,57745,74749,74749,57745
317,57745,74749,74749,57745
318,57745,74749,74749,57745
319,57745,74749,74749,57745
320,57745,74749,74749,57745
321,57745,74749,74749,57745
322,57745,74749,74749,57745
323,57745,74749,74749,57745
324,57745,74749,74749,57745
325,57745,74749,74749,57745
326,57745,74749,74749,57745
327,57745,74749,74749,57745
328,57745,74749,74749,57745
329,57745,74749,74749,57745
330,57745,74749,74749,57745
331,57745,74749,74749,57745
332,57745,74749,74749,57745
333,57745,74749,74749,57745
334,57745,74749,74749,57745
335,57745,74749,74749,57745
336,57745,74749,74749,57745
337,57745,74749,74749,57745
338,57745,74749,74749,57745
339,57745,74749,74749,57745
340,57745,74749,74749,57745
341,57745,74749,74749,57745
342,57745,74749,74749,57745
343,57745,74749,74749,57745
344,57745,74749,74749,57745
345,57745,74749,74749,57745
346,57745,74749,74749,57745
347,57745,74749,74749,57745
348,57745,74749,74749,57745
349,57745,74749,74749,57745
350,57745,74749,74749,57745
351,57745,74749,74749,57745
352,57745,74749,74749,57745
353,57745,74749,74749,57745
354,57745,74749,74749,57745
355,57745,74749,74749,57745
356,57745,74749,74749,57745
357,57745,74749,74749,57745
358,57745,74749,74749,57745
359,57745,74749,74749,57745
360,57745,74749,74749,57745
361,57745,74749,74749,57745
362,57745,74749,74749,57745
363,57745,74749,74749,57745
364,57745,74749,74749,57745
365,57745,74749,74749,57745
366,57745,74749,74749,57745
367,57745,74749,74749,57745
368,57745,74749,74749,57745
369,57745,74749,74749,57745
370,57745,74749,74749,57745
371,57745,74749,74749,57745
372,57745,74749,74749,57745
373,57745,74749,74749,57745
374,57745,74749,74749,57745
375,57745,74749,74749,57745
376,57745,74749,74749,57745
377,57745,74749,74749,57745
378,57745,74749,74749,57745
379,57745,74749,74749,57745
380,57745,74749,74749,57745
381,57745,74749,74749,57745
382,57745,74749,74749,57745
383,57745,74749,74749,57745
384,57745,74749,74749,57745
385,57745,74749,74749,57745
386,57745,74749,74749,57745
387,57745,74749,74749,57745
388,57745,74749,74749,57745
389,57745,74749,74749,57745
390,57745,74749,74749,57745
391,57745,74749,74749,57745
392,57745,74749,74749,57745
393,57745,74749,74749,57745
394,57745,74749,74749,57745
395,57745,74749,74749,57745
396,57745,74749,74749,57745
397,57745,74749,74749,57745
398,57745,74749,74749,57745
399,57745,74749,74749,57745
400,57745,74749,74749,57745
401,57745,74749,74749,57745
402,57745,74749,74749,57745
403,57745,74749,74749,57745
404,57745,74749,74749,57745
405,57745,74749,74749,57745
406,57745,74749,74749,57745
407,57745,74749,74749,57745
408,57745,74749,74749,57745
409,57745,74749,74749,57745
410,57745,74749,74749,57745
411,57745,74749,74749,57745
412,57745,74749,74749,57745
413,57745,74749,74749,57745
414,57745,74749,74749,57745
415,57745,74749,74749,57745
416,57745,74749,74749,57745
417,57745,74749,74749,57745
418,57745,74749,74749,57745
419,57745,74749,74749,57745
420,57745,74749,74749,57745
421,57745,74749,74749,57745
422,57745,74749,74749,57745
423,57745,74749,74749,57745
424,57745,74749,74749,57745
425,57745,74749,74749,57745
426,57745,74749,74749,57745
427,57745,74749,74749,57745
428,57745,74749,74749,57745
429,57745,74749,74749,57745
430,57745,74749,74749,57745
431,57745,74749,74749,57745
432,57745,74749,74749,57745
433,57745,74749,74749,57745
434,57745,74749,74749,57745
435,57745,74749,74749,57745
436,57745,74749,74749,57745
437,57745,74749,74749,57745
438,57745,74749,74749,57745
439,57745,74749,74749,57745
440,57745,74749,74749,57745
441,57745,74749,74749,57745
442,57745,74749,74749,57745
443,57745,74749,74749,57745
444,57745,74749,74749,57745
445,57745,74749,74749,57745
446,57745,74749,74749,57745
447,57745,74749,74749,57745
448,57745,74749,74749,57745
449,57745,74749,74749,57745
450,57745,74749,74749,57745
451,57745,74749,74749,57745
452,57745,74749,74749,57745
453,57745,74749,74749,57745
454,57745,74749,74749,57745
455,57745,74749,74749,57745
456,57745,74749,74749,57745
457,57745,74749,74749,57745
458,57745,74749,74749,57745
459,57745,74749,74749,57745
460,57745,74749,74749,57745
461,57745,74749,74749,57745
462,57745,74749,74749,57745
463,57745,74749,74749,57745
464,57745,74749,74749,57745
465,57745,74749,74749,57745
466,57745,74749,74749,57745
467,57745,74749,74749,57745
468,57745,74749,74749,57745
469,57745,74749,74749,57745
470,57745,74749,74749,57745
471,57745,74749,74749,57745
472,57745,74749,74749,57745
473,57745,74749,74749,57745
474,57745,74749,74749,57745
475,57745,74749,74749,57745
476,57745,74749,74749,57745
477,57745,74749,74749,57745
478,57745,74749,74749,57745
479,57745,74749,74749,57745
480,57745,74749,74749,57745
481,57745,74749,74749,57745
482,57745,74749,74749,57745
483,57745,74749,74749,57745
484,57745,74749,74749,57745
485,57745,74749,74749,57745
486,57745,74749,74749,57745
487,57745,74749,74749,57745
488,57745,74749,74749,57745
489,57745,74749,74749,57745
490,57745,74749,74749,57745
491,57745,74749,74749,57745
492,57745,74749,74749,57745
493,57745,74749,74749,57745
494,57745,74749,74749,57745
495,57745,74749,74749,57745
496,57745,74749,74749,57745
497,57745,74749,74749,57745
498,57745,74749,74749,57745
499,57745,74749,74749,57745
500,57745,74749,74749,57745
501,57745,74749,74749,57745
502,57745,74749,74749,57745
503,57745,74749,74749,57745
504,57745,74749,74749,57745
505,57745,74749,74749,57745
506,57745,74749,74749,57745
507,57745,74749,74749,57745
508,57745,74749,74749,57745
509,57745,74749,74749,57745
510,57745,74749,74749,57745
511,57745,74749,74749,57745
512,57745,74749,74749,57745
513,57745,74749,74749,57745
514,57745,74749,74749,57745
515,57745,74749,74749,57745
516,57745,74749,74749,57745
517,57745,74749,74749,57745
518,57745,74749,74749,57745
519,57745,74749,74749,57745
520,57745,74749,74749,57745
521,57745,74749,74749,57745
522,57745,74749,74749,57745
523,57745,74749,74749,57745
524,57745,74749,74749,57745
525,57745,74749,74749,57745
526,57745,74749,74749,57745
527,57745,74749,74749,57745
528,57745,74749,74749,57745
529,57745,74749,74749,57745
530,57745,74749,74749,57745
531,57745,74749,74749,57745
532,57745,74749,74749,57745
533,57745,74749,74749,57745
534,57745,74749,74749,57745
535,57745,74749,74749,57745
536,57745,74749,74749,57745
537,57745,74749,74749,57745
538,57745,74749,74749,57745
539,57745,74749,74749,57745
540,57745,74749,74749,57745
541,57745,74749,74749,57745
542,57745,74749,74749,57745
543,57745,74749,74749,57745
544,57745,74749,74749,57745
545,57745,74749,74749,57745
546,57745,74749,74749,57745
547,57745,74749,74749,57745
548,57745,74749,74749,57745
549,57745,74749,74749,57745
550,57745,74749,74749,57745
551,57745,74749,74749,57745
552,57745,74749,74749,57745
553,57745,74749,74749,57745
554,57745,74749,74749,57745
555,57745,74749,74749,57745
556,57745,74749,74749,57745
557,57745,74749,74749,57745
558,57745,74749,74749,57745
559,57745,74749,74749,57745
560,57745,74749,74749,57745
561,57745,74749,74749,57745
562,57745,74749,74749,57745
563,57745,74749,74749,57745
564,57745,74749,74749,57745
565,57745,74749,74749,57745
566,57745,74749,74749,57745
567,57745,74749,74749,57745
568,57745,74749,74749,57745
569,57745,74749,74749,57745
570,57745,74749,74749,57745
571,57745,74749,74749,57745
572,57745,74749,74749,57745
573,57745,74749,74749,57745
574,57745,74749,74749,57745
575,57745,74749,74749,57745
576,57745,74749,74749,57745
577,57745,74749,74749,57745
578,57745,74749,74749,57745
579,57745,74749,74749,57745
580,57745,74749,74749,57745
581,57745,74749,74749,57745
582,57745,74749,74749,57745
583,57745,74749,74749,57745
584,57745,74749,74749,57745
585,57745,74749,74749,57745
586,57745,74749,74749,57745
587,57745,74749,74749,57745
588,57745,74749,74749,57745
589,57745,74749,74749,57745
590,57745,74749,74749,57745
591,57745,74749,74749,57745
592,57745,74749,74749,57745
593,57745,74749,74749,57745
594,57745,74749,74749,57745
595,57745,74749,74749,57745
596,57745,74749,74749,57745
597,57745,74749,74749,57745
598,57745,74749,74749,57745
599,57745,74749,74749,57745
600,57745,74749,74749,57745
601,57745,74749,74749,57745
602,57745,74749,74749,57745
603,57745,74749,74749,57745
604,57745,74749,74749,57745
605,57745,74749,74749,57745
606,57745,74749,74749,57745
607,57745,74749,74749,57745
608,57745,74749,74749,57745
609,57745,74749,74749,57745
610,57745,74749,74749,57745
611,57745,74749,74749,57745
612,57745,74749,74749,57745
613,57745,74749,74749,57745
614,57745,74749,74749,57745
615,57745,74749,74749,57745
616,57745,74749,74749,57745
617,57745,74749,74749,57745
618,57745,74749,74749,57745
619,57745,74749,74749,57745
620,57745,74749,74749,57745
621,57745,74749,74749,57745
622,57745,74749,74749,57745
623,57745,74749,74749,57745
624,57745,74749,74749,57745
625,57745,74749,74749,57745
626,57745,74749,74749,57745
627,57745,74749,74749,57745
628,57745,74749,74749,57745
629,57745,74749,74749,57745
630,57745,74749,74749,57745
631,57745,74749,74749,57745
632,57745,74749,74749,57745
633,57745,74749,74749,57745
634,57745,74749,74749,57745
635,57745,74749,74749,57745
636,57745,74749,74749,57745
637,57745,74749,74749,57745
638,57745,74749,74749,57745
639,57745,74749,74749,57745
640,57745,74749,74749,57745
641,57745,74749,74749,57745
642,57745,74749,74749,57745
643,57745,74749,74749,57745
644,57745,74749,74749,57745
645,57745,74749,74749,57745
646,57745,74749,74749,57745
647,57745,74749,74749,57745
648,57745,74749,74749,57745
649,57745,74749,74749,57745
650,57745,74749,74749,57745
651,57745,74749,74749,57745
652,57745,74749,74749,57745
653,57745,74749,74749,57745
654,57745,74749,74749,57745
655,57745,74749,74749,57745
656,57745,74749,74749,57745
657,57745,74749,74749,57745
658,57745,74749,74749,57745
659,57745,74749,74749,57745
660,57745,74749,74749,57745
661,57745,74749,74749,57745
662,57745,74749,74749,57745
663,57745,74749,74749,57745
664,57745,74749,74749,57745
665,57745,74749,74749,57745
666,57745,74749,74749,57745
667,57745,74749,74749,57745
668,57745,74749,74749,57745
669,57745,74749,74749,57745
670,57745,74749,74749,57745
671,57745,74749,74749,57745
672,57745,74749,74749,57745
673,57745,74749,74749,57745
674,57745,74749,74749,57745
675,57745,74749,74749,57745
676,57745,74749,74749,57745
677,57745,74749,74749,57745
678,57745,74749,74749,57745
679,57745,74749,74749,57745
680,57745,74749,74749,57745
681,57745,74749,74749,57745
682,57745,74749,74749,57745
683,57745,74749,74749,57745
684,57745,74749,74749,57745
685,57745,74749,74749,57745
686,57745,74749,74749,57745
687,57745,74749,74749,57745
688,57745,74749,74749,57745
689,57745,74749,74749,57745
690,57745,74749,74749,57745
691,57745,74749,74749,57745
692,57745,74749,74749,57745
693,57745,74749,74749,57745
694,57745,74749,74749,57745
695,57745,74749,74749,57745
696,57745,74749,74749,57745
697,57745,74749,74749,57745
698,57745,74749,74749,57745
699,57745,74749,74749,57745
700,57745,74749,74749,57745
701,57745,74749,74749,57745
702,57745,74749,74749,57745
703,57745,74749,74749,57745
704,57745,74749,74749,57745
705,57745,74749,74749,57745
706,57745,74749,74749,57745
707,57745,74749,74749,57745
708,57745,74749,74749,57745
709,57745,74749,74749,57745
710,57745,74749,74749,57745
711,57745,74749,74749,57745
712,57745,74749,74749,57745
713,57745,74749,74749,57745
714,57745,74749,74749,57745
715,57745,74749,74749,57745
716,57745,74749,74749,57745
717,57745,74749,74749,57745
718,57745,74749,74749,57745
719,57745,74749,74749,57745
720,57745,74749,74749,57745
721,57745,74749,74749,57745
722,57745,74749,74749,57745
723,57745,74749,74749,57745
724,57745,74749,74749,57745
725,57745,74749,74749,57745
726,57745,74749,74749,57745
727,57745,74749,74749,57745
728,57745,74749,74749,57745
729,57745,74749,74749,57745
730,57745,74749,74749,57745
731,57745,74749,74749,57745
732,57745,74749,74749,57745
733,57745,74749,74749,57745
734,57745,74749,74749,57745
735,57745,74749,74749,57745
736,57745,74749,74749,57745
737,57745,74749,74749,57745
738,57745,74749,74749,57745
739,57745,74749,74749,57745
740,57745,74749,74749,57745
741,57745,74749,74749,57745
742,57745,74749,74749,57745
743,57745,74749,74749,57745
744,57745,74749,74749,57745
745,57745,74749,74749,57745
746,57745,74749,74749,57745
747,57745,74749,74749,57745
748,57745,74749,74749,57745
749,57745,74749,74749,57745
750,57745,74749,74749,57745
751,57745,74749,74749,57745
752,57745,74749,74749,57745
753,57745,74749,74749,57745
754,57745,74749,74749,57745
755,57745,74749,74749,57745
756,57745,74749,74749,57745
757,57745,74749,74749,57745
758,57745,74749,74749,57745
759,57745,74749,74749,57745
760,57745,74749,74749,57745
761,57745,74749,74749,57745
762,57745,74749,74749,57745
763,57745,74749,74749,57745
764,57745,74749,74749,57745
765,57745,74749,74749,57745
766,57745,74749,74749,57745
767,57745,74749,74749,57745
768,57745,74749,74749,57745
769,57745,74749,74749,57745
770,57745,74749,74749,57745
771,57745,74749,74749,57745
772,57745,74749,74749,57745
773,57745,74749,74749,57745
774,57745,74749,74749,57745
775,57745,74749,74749,57745
776,57745,74749,74749,57745
777,57745,74749,74749,57745
778,57745,74749,74749,57745
779,57745,74749,74749,57745
780,57745,74749,74749,57745
781,57745,74749,74749,57745
782,57745,74749,74749,57745
783,57745,74749,74749,57745
784,57745,74749,74749,57745
785,57745,74749,74749,57745
786,57745,74749,74749,57745
787,57745,74749,74749,57745
788,57745,74749,74749,57745
789,57745,74749,74749,57745
790,57745,74749,74749,57745
791,57745,74749,74749,57745
792,57745,74749,74749,57745
793,57745,74749,74749,57745
794,57745,74749,74749,57745
795,57745,74749,74749,57745
796,57745,74749,74749,57745
797,57745,74749,74749,57745
798,57745,74749,74749,57745
799,57745,74749,74749,57745
800,57745,74749,74749,57745
801,57745,74749,74749,57745
802,57745,74749,74749,57745
803,57745,74749,74749,57745
804,57745,74749,74749,57745
805,57745,74749,74749,57745
806,57745,74749,74749,57745
807,57745,74749,74749,57745
808,57745,74749,74749,57745
809,57745,74749,74749,57745
810,57745,74749,74749,57745
811,57745,74749,74749,57745
812,57745,74749,74749,57745
813,57745,74749,74749,57745
