County Name,Bachelors,Total,High school,Bachelors
160,15285.8,76429,70314.68,15285.8
161,15285.8,76429,70314.68,15285.8
162,15285.8,76429,70314.68,15285.8
163,15285.8,76429,70314.68,15285.8
164,15285.8,76429,70314.68,15285.8
165,15285.8,76429,70314.68,15285.8
166,15285.8,76429,70314.68,15285.8
167,15285.8,76429,70314.68,15285.8
168,15285.8,76429,70314.68,15285.8
169,15285.8,76429,70314.68,15285.8
170,15285.8,76429,70314.68,15285.8
171,15285.8,76429,70314.68,15285.8
172,15285.8,76429,70314.68,15285.8
173,15285.8,76429,70314.68,15285.8
174,15285.8,76429,70314.68,15285.8
175,15285.8,76429,70314.68,15285.8
176,15285.8,76429,70314.68,15285.8
177,15285.8,76429,70314.68,15285.8
178,15285.8,76429,70314.68,15285.8
179,15285.8,76429,70314.68,15285.8
180,15285.8,76429,70314.68,15285.8
181,15285.8,76429,70314.68,15285.8
182,15285.8,76429,70314.68,15285.8
183,15285.8,76429,70314.68,15285.8
184,15285.8,76429,70314.68,15285.8
185,15285.8,76429,70314.68,15285.8
186,15285.8,76429,70314.68,15285.8
187,15285.8,76429,70314.68,15285.8
188,15285.8,76429,70314.68,15285.8
189,15285.8,76429,70314.68,15285.8
190,15285.8,76429,70314.68,15285.8
191,15285.8,76429,70314.68,15285.8
192,15285.8,76429,70314.68,15285.8
193,15285.8,76429,70314.68,15285.8
194,15285.8,76429,70314.68,15285.8
195,15285.8,76429,70314.68,15285.8
196,15285.8,76429,70314.68,15285.8
197,15285.8,76429,70314.68,15285.8
198,15285.8,76429,70314.68,15285.8
199,15285.8,76429,70314.68,15285.8
200,15285.8,76429,70314.68,15285.8
201,15285.8,76429,70314.68,15285.8
202,15285.8,76429,70314.68,15285.8
203,15285.8,76429,70314.68,15285.8
204,15285.8,76429,70314.68,15285.8
205,15285.8,76429,70314.68,15285.8
206,15285.8,76429,70314.68,15285.8
207,15285.8,76429,70314.68,15285.8
208,15285.8,76429,70314.68,15285.8
209,15285.8,76429,70314.68,15285.8
210,15285.8,76429,70314.68,15285.8
211,15285.8,76429,70314.68,15285.8
212,15285.8,76429,70314.68,15285.8
213,15285.8,76429,70314.68,15285.8
214,15285.8,76429,70314.68,15285.8
215,15285.8,76429,70314.68,15285.8
216,15285.8,76429,70314.68,15285.8
217,15285.8,76429,70314.68,15285.8
218,15285.8,76429,70314.68,15285.8
219,15285.8,76429,70314.68,15285.8
220,15285.8,76429,70314.68,15285.8
221,15285.8,76429,70314.68,15285.8
222,15285.8,76429,70314.68,15285.8
223,15285.8,76429,70314.68,15285.8
224,15285.8,76429,70314.68,15285.8
225,15285.8,76429,70314.68,15285.8
226,15285.8,76429,70314.68,15285.8
227,15285.8,76429,70314.68,15285.8
228,15285.8,76429,70314.68,15285.8
229,15285.8,76429,70314.68,15285.8
230,15285.8,76429,70314.68,15285.8
231,15285.8,76429,70314.68,15285.8
232,15285.8,76429,70314.68,15285.8
233,15285.8,76429,70314.68,15285.8
234,15285.8,76429,70314.68,15285.8
235,15285.8,76429,70314.68,15285.8
236,15285.8,76429,70314.68,15285.8
237,15285.8,76429,70314.68,15285.8
238,15285.8,76429,70314.68,15285.8
239,15285.8,76429,70314.68,15285.8
240,15285.8,76429,70314.68,15285.8
241,15285.8,76429,70314.68,15285.8
242,15285.8,76429,70314.68,15285.8
243,15285.8,76429,70314.68,15285.8
244,15285.8,76429,70314.68,15285.8
245,15285.8,76429,70314.68,15285.8
246,15285.8,76429,70314.68,15285.8
247,15285.8,76429,70314.68,15285.8
248,15285.8,76429,70314.68,15285.8
249,15285.8,76429,70314.68,15285.8
250,15285.8,76429,70314.68,15285.8
251,15285.8,76429,70314.68,15285.8
252,15285.8,76429,70314.68,15285.8
253,15285.8,76429,70314.68,15285.8
254,15285.8,76429,70314.68,15285.8
255,15285.8,76429,70314.68,15285.8
256,15285.8,76429,70314.68,15285.8
257,15285.8,76429,70314.68,15285.8
258,15285.8,76429,70314.68,15285.8
259,15285.8,76429,70314.68,15285.8
260,15285.8,76429,70314.68,15285.8
261,15285.8,76429,70314.68,15285.8
262,15285.8,76429,70314.68,15285.8
263,15285.8,76429,70314.68,15285.8
264,15285.8,76429,70314.68,15285.8
265,15285.8,76429,70314.68,15285.8
266,15285.8,76429,70314.68,15285.8
267,15285.8,76429,70314.68,15285.8
268,15285.8,76429,70314.68,15285.8
269,15285.8,76429,70314.68,15285.8
270,15285.8,76429,70314.68,15285.8
271,15285.8,76429,70314.68,15285.8
272,15285.8,76429,70314.68,15285.8
273,15285.8,76429,70314.68,15285.8
274,15285.8,76429,70314.68,15285.8
275,15285.8,76429,70314.68,15285.8
276,15285.8,76429,70314.68,15285.8
277,15285.8,76429,70314.68,15285.8
278,15285.8,76429,70314.68,15285.8
279,15285.8,76429,70314.68,15285.8
280,15285.8,76429,70314.68,15285.8
281,15285.8,76429,70314.68,15285.8
282,15285.8,76429,70314.68,15285.8
283,15285.8,76429,70314.68,15285.8
284,15285.8,76429,70314.68,15285.8
285,15285.8,76429,70314.68,15285.8
286,15285.8,76429,70314.68,15285.8
287,15285.8,76429,70314.68,15285.8
288,15285.8,76429,70314.68,15285.8
289,15285.8,76429,70314.68,15285.8
290,15285.8,76429,70314.68,15285.8
291,15285.8,76429,70314.68,15285.8
292,15285.8,76429,70314.68,15285.8
293,15285.8,76429,70314.68,15285.8
294,15285.8,76429,70314.68,15285.8
295,15285.8,76429,70314.68,15285.8
296,15285.8,76429,70314.68,15285.8
297,15285.8,76429,70314.68,15285.8
298,15285.8,76429,70314.68,15285.8
299,15285.8,76429,70314.68,15285.8
300,15285.8,76429,70314.68,15285.8
301,15285.8,76429,70314.68,15285.8
302,15285.8,76429,70314.68,15285.8
303,15285.8,76429,70314.68,15285.8
304,15285.8,76429,70314.68,15285.8
305,15285.8,76429,70314.68,15285.8
306,15285.8,76429,70314.68,15285.8
307,15285.8,76429,70314.68,15285.8
308,15285.8,76429,70314.68,15285.8
309,15285.8,76429,70314.68,15285.8
310,15285.8,76429,70314.68,15285.8
311,15285.8,76429,70314.68,15285.8
312,15285.8,76429,70314.68,15285.8
313,15285.8,76429,70314.68,15285.8
314,15285.8,76429,70314.68,15285.8
315,15285.8,76429,70314.68,15285.8
316,15285.8,76429,70314.68,15285.8
317,15285.8,76429,70314.68,15285.8
318,15285.8,76429,70314.68,15285.8
319,15285.8,76429,70314.68,15285.8
320,15285.8,76429,70314.68,15285.8
321,15285.8,76429,70314.68,15285.8
322,15285.8,76429,70314.68,15285.8
323,15285.8,76429,70314.68,15285.8
324,15285.8,76429,70314.68,15285.8
325,15285.8,76429,70314.68,15285.8
326,15285.8,76429,70314.68,15285.8
327,15285.8,76429,70314.68,15285.8
328,15285.8,76429,70314.68,15285.8
329,15285.8,76429,70314.68,15285.8
330,15285.8,76429,70314.68,15285.8
331,15285.8,76429,70314.68,15285.8
332,15285.8,76429,70314.68,15285.8
333,15285.8,76429,70314.68,15285.8
334,15285.8,76429,70314.68,15285.8
335,15285.8,76429,70314.68,15285.8
336,15285.8,76429,70314.68,15285.8
337,15285.8,76429,70314.68,15285.8
338,15285.8,76429,70314.68,15285.8
339,15285.8,76429,70314.68,15285.8
340,15285.8,76429,70314.68,15285.8
341,15285.8,76429,70314.68,15285.8
342,15285.8,76429,70314.68,15285.8
343,15285.8,76429,70314.68,15285.8
344,15285.8,76429,70314.68,15285.8
345,15285.8,76429,70314.68,15285.8
346,15285.8,76429,70314.68,15285.8
347,15285.8,76429,70314.68,15285.8
348,15285.8,76429,70314.68,15285.8
349,15285.8,76429,70314.68,15285.8
350,15285.8,76429,70314.68,15285.8
351,15285.8,76429,70314.68,15285.8
352,15285.8,76429,70314.68,15285.8
353,15285.8,76429,70314.68,15285.8
354,15285.8,76429,70314.68,15285.8
355,15285.8,76429,70314.68,15285.8
356,15285.8,76429,70314.68,15285.8
357,15285.8,76429,70314.68,15285.8
358,15285.8,76429,70314.68,15285.8
359,15285.8,76429,70314.68,15285.8
360,15285.8,76429,70314.68,15285.8
361,15285.8,76429,70314.68,15285.8
362,15285.8,76429,70314.68,15285.8
363,15285.8,76429,70314.68,15285.8
364,15285.8,76429,70314.68,15285.8
365,15285.8,76429,70314.68,15285.8
366,15285.8,76429,70314.68,15285.8
367,15285.8,76429,70314.68,15285.8
368,15285.8,76429,70314.68,15285.8
369,15285.8,76429,70314.68,15285.8
370,15285.8,76429,70314.68,15285.8
371,15285.8,76429,70314.68,15285.8
372,15285.8,76429,70314.68,15285.8
373,15285.8,76429,70314.68,15285.8
374,15285.8,76429,70314.68,15285.8
375,15285.8,76429,70314.68,15285.8
376,15285.8,76429,70314.68,15285.8
377,15285.8,76429,70314.68,15285.8
378,15285.8,76429,70314.68,15285.8
379,15285.8,76429,70314.68,15285.8
380,15285.8,76429,70314.68,15285.8
381,15285.8,76429,70314.68,15285.8
382,15285.8,76429,70314.68,15285.8
383,15285.8,76429,70314.68,15285.8
384,15285.8,76429,70314.68,15285.8
385,15285.8,76429,70314.68,15285.8
386,15285.8,76429,70314.68,15285.8
387,15285.8,76429,70314.68,15285.8
388,15285.8,76429,70314.68,15285.8
389,15285.8,76429,70314.68,15285.8
390,15285.8,76429,70314.68,15285.8
391,15285.8,76429,70314.68,15285.8
392,15285.8,76429,70314.68,15285.8
393,15285.8,76429,70314.68,15285.8
394,15285.8,76429,70314.68,15285.8
395,15285.8,76429,70314.68,15285.8
396,15285.8,76429,70314.68,15285.8
397,15285.8,76429,70314.68,15285.8
398,15285.8,76429,70314.68,15285.8
399,15285.8,76429,70314.68,15285.8
400,15285.8,76429,70314.68,15285.8
401,15285.8,76429,70314.68,15285.8
402,15285.8,76429,70314.68,15285.8
403,15285.8,76429,70314.68,15285.8
404,15285.8,76429,70314.68,15285.8
405,15285.8,76429,70314.68,15285.8
406,15285.8,76429,70314.68,15285.8
407,15285.8,76429,70314.68,15285.8
408,15285.8,76429,70314.68,15285.8
409,15285.8,76429,70314.68,15285.8
410,15285.8,76429,70314.68,15285.8
411,15285.8,76429,70314.68,15285.8
412,15285.8,76429,70314.68,15285.8
413,15285.8,76429,70314.68,15285.8
414,15285.8,76429,70314.68,15285.8
415,15285.8,76429,70314.68,15285.8
416,15285.8,76429,70314.68,15285.8
417,15285.8,76429,70314.68,15285.8
418,15285.8,76429,70314.68,15285.8
419,15285.8,76429,70314.68,15285.8
420,15285.8,76429,70314.68,15285.8
421,15285.8,76429,70314.68,15285.8
422,15285.8,76429,70314.68,15285.8
423,15285.8,76429,70314.68,15285.8
424,15285.8,76429,70314.68,15285.8
425,15285.8,76429,70314.68,15285.8
426,15285.8,76429,70314.68,15285.8
427,15285.8,76429,70314.68,15285.8
428,15285.8,76429,70314.68,15285.8
429,15285.8,76429,70314.68,15285.8
430,15285.8,76429,70314.68,15285.8
431,15285.8,76429,70314.68,15285.8
432,15285.8,76429,70314.68,15285.8
433,15285.8,76429,70314.68,15285.8
434,15285.8,76429,70314.68,15285.8
435,15285.8,76429,70314.68,15285.8
436,15285.8,76429,70314.68,15285.8
437,15285.8,76429,70314.68,15285.8
438,15285.8,76429,70314.68,15285.8
439,15285.8,76429,70314.68,15285.8
440,15285.8,76429,70314.68,15285.8
441,15285.8,76429,70314.68,15285.8
442,15285.8,76429,70314.68,15285.8
443,15285.8,76429,70314.68,15285.8
444,15285.8,76429,70314.68,15285.8
445,15285.8,76429,70314.68,15285.8
446,15285.8,76429,70314.68,15285.8
447,15285.8,76429,70314.68,15285.8
448,15285.8,76429,70314.68,15285.8
