County Name,Democrat,Total,democrat,republican
228,29043,76429,29043,43564
229,29043,76429,29043,43564
230,29043,76429,29043,43564
231,29043,76429,29043,43564
232,29043,76429,29043,43564
233,29043,76429,29043,43564
234,29043,76429,29043,43564
235,29043,76429,29043,43564
236,29043,76429,29043,43564
237,29043,76429,29043,43564
238,29043,76429,29043,43564
239,29043,76429,29043,43564
240,29043,76429,29043,43564
241,29043,76429,29043,43564
242,29043,76429,29043,43564
243,29043,76429,29043,43564
244,29043,76429,29043,43564
245,29043,76429,29043,43564
246,29043,76429,29043,43564
247,29043,76429,29043,43564
248,29043,76429,29043,43564
249,29043,76429,29043,43564
250,29043,76429,29043,43564
251,29043,76429,29043,43564
252,29043,76429,29043,43564
253,29043,76429,29043,43564
254,29043,76429,29043,43564
255,29043,76429,29043,43564
256,29043,76429,29043,43564
257,29043,76429,29043,43564
258,29043,76429,29043,43564
259,29043,76429,29043,43564
260,29043,76429,29043,43564
261,29043,76429,29043,43564
262,29043,76429,29043,43564
263,29043,76429,29043,43564
264,29043,76429,29043,43564
265,29043,76429,29043,43564
266,29043,76429,29043,43564
267,29043,76429,29043,43564
268,29043,76429,29043,43564
269,29043,76429,29043,43564
270,29043,76429,29043,43564
271,29043,76429,29043,43564
272,29043,76429,29043,43564
273,29043,76429,29043,43564
274,29043,76429,29043,43564
275,29043,76429,29043,43564
276,29043,76429,29043,43564
277,29043,76429,29043,43564
278,29043,76429,29043,43564
279,29043,76429,29043,43564
280,29043,76429,29043,43564
281,29043,76429,29043,43564
282,29043,76429,29043,43564
283,29043,76429,29043,43564
284,29043,76429,29043,43564
285,29043,76429,29043,43564
286,29043,76429,29043,43564
287,29043,76429,29043,43564
288,29043,76429,29043,43564
289,29043,76429,29043,43564
290,29043,76429,29043,43564
291,29043,76429,29043,43564
292,29043,76429,29043,43564
293,29043,76429,29043,43564
294,29043,76429,29043,43564
295,29043,76429,29043,43564
296,29043,76429,29043,43564
297,29043,76429,29043,43564
298,29043,76429,29043,43564
299,29043,76429,29043,43564
300,29043,76429,29043,43564
301,29043,76429,29043,43564
302,29043,76429,29043,43564
303,29043,76429,29043,43564
304,29043,76429,29043,43564
305,29043,76429,29043,43564
306,29043,76429,29043,43564
307,29043,76429,29043,43564
308,29043,76429,29043,43564
309,29043,76429,29043,43564
310,29043,76429,29043,43564
311,29043,76429,29043,43564
312,29043,76429,29043,43564
313,29043,76429,29043,43564
314,29043,76429,29043,43564
315,29043,76429,29043,43564
316,29043,76429,29043,43564
317,29043,76429,29043,43564
318,29043,76429,29043,43564
319,29043,76429,29043,43564
320,29043,76429,29043,43564
321,29043,76429,29043,43564
322,29043,76429,29043,43564
323,29043,76429,29043,43564
324,29043,76429,29043,43564
325,29043,76429,29043,43564
326,29043,76429,29043,43564
327,29043,76429,29043,43564
328,29043,76429,29043,43564
329,29043,76429,29043,43564
330,29043,76429,29043,43564
331,29043,76429,29043,43564
332,29043,76429,29043,43564
333,29043,76429,29043,43564
334,29043,76429,29043,43564
335,29043,76429,29043,43564
336,29043,76429,29043,43564
337,29043,76429,29043,43564
338,29043,76429,29043,43564
339,29043,76429,29043,43564
340,29043,76429,29043,43564
341,29043,76429,29043,43564
342,29043,76429,29043,43564
343,29043,76429,29043,43564
344,29043,76429,29043,43564
345,29043,76429,29043,43564
346,29043,76429,29043,43564
347,29043,76429,29043,43564
348,29043,76429,29043,43564
349,29043,76429,29043,43564
350,29043,76429,29043,43564
351,29043,76429,29043,43564
352,29043,76429,29043,43564
353,29043,76429,29043,43564
354,29043,76429,29043,43564
355,29043,76429,29043,43564
356,29043,76429,29043,43564
357,29043,76429,29043,43564
358,29043,76429,29043,43564
359,29043,76429,29043,43564
360,29043,76429,29043,43564
361,29043,76429,29043,43564
362,29043,76429,29043,43564
363,29043,76429,29043,43564
364,29043,76429,29043,43564
365,29043,76429,29043,43564
366,29043,76429,29043,43564
367,29043,76429,29043,43564
368,29043,76429,29043,43564
369,29043,76429,29043,43564
370,29043,76429,29043,43564
371,29043,76429,29043,43564
372,29043,76429,29043,43564
373,29043,76429,29043,43564
374,29043,76429,29043,43564
375,29043,76429,29043,43564
376,29043,76429,29043,43564
377,29043,76429,29043,43564
378,29043,76429,29043,43564
379,29043,76429,29043,43564
380,29043,76429,29043,43564
381,29043,76429,29043,43564
382,29043,76429,29043,43564
383,29043,76429,29043,43564
384,29043,76429,29043,43564
385,29043,76429,29043,43564
386,29043,76429,29043,43564
387,29043,76429,29043,43564
388,29043,76429,29043,43564
389,29043,76429,29043,43564
390,29043,76429,29043,43564
391,29043,76429,29043,43564
392,29043,76429,29043,43564
393,29043,76429,29043,43564
394,29043,76429,29043,43564
395,29043,76429,29043,43564
396,29043,76429,29043,43564
397,29043,76429,29043,43564
398,29043,76429,29043,43564
399,29043,76429,29043,43564
400,29043,76429,29043,43564
401,29043,76429,29043,43564
402,29043,76429,29043,43564
403,29043,76429,29043,43564
404,29043,76429,29043,43564
405,29043,76429,29043,43564
406,29043,76429,29043,43564
407,29043,76429,29043,43564
408,29043,76429,29043,43564
409,29043,76429,29043,43564
410,29043,76429,29043,43564
411,29043,76429,29043,43564
412,29043,76429,29043,43564
413,29043,76429,29043,43564
414,29043,76429,29043,43564
415,29043,76429,29043,43564
416,29043,76429,29043,43564
417,29043,76429,29043,43564
418,29043,76429,29043,43564
419,29043,76429,29043,43564
420,29043,76429,29043,43564
421,29043,76429,29043,43564
422,29043,76429,29043,43564
423,29043,76429,29043,43564
424,29043,76429,29043,43564
425,29043,76429,29043,43564
426,29043,76429,29043,43564
427,29043,76429,29043,43564
428,29043,76429,29043,43564
429,29043,76429,29043,43564
430,29043,76429,29043,43564
431,29043,76429,29043,43564
432,29043,76429,29043,43564
433,29043,76429,29043,43564
434,29043,76429,29043,43564
435,29043,76429,29043,43564
436,29043,76429,29043,43564
437,29043,76429,29043,43564
438,29043,76429,29043,43564
439,29043,76429,29043,43564
440,29043,76429,29043,43564
441,29043,76429,29043,43564
442,29043,76429,29043,43564
443,29043,76429,29043,43564
444,29043,76429,29043,43564
445,29043,76429,29043,43564
446,29043,76429,29043,43564
447,29043,76429,29043,43564
448,29043,76429,29043,43564
449,29043,76429,29043,43564
450,29043,76429,29043,43564
451,29043,76429,29043,43564
452,29043,76429,29043,43564
453,29043,76429,29043,43564
454,29043,76429,29043,43564
455,29043,76429,29043,43564
456,29043,76429,29043,43564
457,29043,76429,29043,43564
458,29043,76429,29043,43564
459,29043,76429,29043,43564
460,29043,76429,29043,43564
461,29043,76429,29043,43564
462,29043,76429,29043,43564
463,29043,76429,29043,43564
464,29043,76429,29043,43564
465,29043,76429,29043,43564
466,29043,76429,29043,43564
467,29043,76429,29043,43564
468,29043,76429,29043,43564
469,29043,76429,29043,43564
470,29043,76429,29043,43564
471,29043,76429,29043,43564
472,29043,76429,29043,43564
473,29043,76429,29043,43564
474,29043,76429,29043,43564
475,29043,76429,29043,43564
476,29043,76429,29043,43564
477,29043,76429,29043,43564
478,29043,76429,29043,43564
479,29043,76429,29043,43564
480,29043,76429,29043,43564
481,29043,76429,29043,43564
482,29043,76429,29043,43564
483,29043,76429,29043,43564
484,29043,76429,29043,43564
485,29043,76429,29043,43564
486,29043,76429,29043,43564
487,29043,76429,29043,43564
488,29043,76429,29043,43564
489,29043,76429,29043,43564
490,29043,76429,29043,43564
491,29043,76429,29043,43564
492,29043,76429,29043,43564
493,29043,76429,29043,43564
494,29043,76429,29043,43564
495,29043,76429,29043,43564
496,29043,76429,29043,43564
497,29043,76429,29043,43564
498,29043,76429,29043,43564
499,29043,76429,29043,43564
500,29043,76429,29043,43564
501,29043,76429,29043,43564
502,29043,76429,29043,43564
503,29043,76429,29043,43564
504,29043,76429,29043,43564
505,29043,76429,29043,43564
506,29043,76429,29043,43564
507,29043,76429,29043,43564
508,29043,76429,29043,43564
509,29043,76429,29043,43564
510,29043,76429,29043,43564
511,29043,76429,29043,43564
512,29043,76429,29043,43564
513,29043,76429,29043,43564
514,29043,76429,29043,43564
515,29043,76429,29043,43564
516,29043,76429,29043,43564
517,29043,76429,29043,43564
518,29043,76429,29043,43564
519,29043,76429,29043,43564
520,29043,76429,29043,43564
521,29043,76429,29043,43564
522,29043,76429,29043,43564
523,29043,76429,29043,43564
524,29043,76429,29043,43564
525,29043,76429,29043,43564
526,29043,76429,29043,43564
527,29043,76429,29043,43564
528,29043,76429,29043,43564
529,29043,76429,29043,43564
530,29043,76429,29043,43564
531,29043,76429,29043,43564
532,29043,76429,29043,43564
533,29043,76429,29043,43564
534,29043,76429,29043,43564
535,29043,76429,29043,43564
536,29043,76429,29043,43564
537,29043,76429,29043,43564
538,29043,76429,29043,43564
539,29043,76429,29043,43564
540,29043,76429,29043,43564
541,29043,76429,29043,43564
542,29043,76429,29043,43564
543,29043,76429,29043,43564
544,29043,76429,29043,43564
545,29043,76429,29043,43564
546,29043,76429,29043,43564
547,29043,76429,29043,43564
548,29043,76429,29043,43564
549,29043,76429,29043,43564
550,29043,76429,29043,43564
551,29043,76429,29043,43564
552,29043,76429,29043,43564
553,29043,76429,29043,43564
554,29043,76429,29043,43564
555,29043,76429,29043,43564
556,29043,76429,29043,43564
557,29043,76429,29043,43564
558,29043,76429,29043,43564
559,29043,76429,29043,43564
560,29043,76429,29043,43564
561,29043,76429,29043,43564
562,29043,76429,29043,43564
563,29043,76429,29043,43564
564,29043,76429,29043,43564
565,29043,76429,29043,43564
566,29043,76429,29043,43564
567,29043,76429,29043,43564
568,29043,76429,29043,43564
569,29043,76429,29043,43564
570,29043,76429,29043,43564
571,29043,76429,29043,43564
572,29043,76429,29043,43564
573,29043,76429,29043,43564
574,29043,76429,29043,43564
575,29043,76429,29043,43564
576,29043,76429,29043,43564
577,29043,76429,29043,43564
578,29043,76429,29043,43564
579,29043,76429,29043,43564
580,29043,76429,29043,43564
581,29043,76429,29043,43564
582,29043,76429,29043,43564
583,29043,76429,29043,43564
584,29043,76429,29043,43564
585,29043,76429,29043,43564
586,29043,76429,29043,43564
587,29043,76429,29043,43564
588,29043,76429,29043,43564
589,29043,76429,29043,43564
590,29043,76429,29043,43564
591,29043,76429,29043,43564
592,29043,76429,29043,43564
593,29043,76429,29043,43564
594,29043,76429,29043,43564
595,29043,76429,29043,43564
596,29043,76429,29043,43564
597,29043,76429,29043,43564
598,29043,76429,29043,43564
599,29043,76429,29043,43564
600,29043,76429,29043,43564
601,29043,76429,29043,43564
602,29043,76429,29043,43564
603,29043,76429,29043,43564
604,29043,76429,29043,43564
605,29043,76429,29043,43564
606,29043,76429,29043,43564
607,29043,76429,29043,43564
608,29043,76429,29043,43564
609,29043,76429,29043,43564
610,29043,76429,29043,43564
611,29043,76429,29043,43564
612,29043,76429,29043,43564
613,29043,76429,29043,43564
614,29043,76429,29043,43564
615,29043,76429,29043,43564
616,29043,76429,29043,43564
617,29043,76429,29043,43564
618,29043,76429,29043,43564
619,29043,76429,29043,43564
620,29043,76429,29043,43564
621,29043,76429,29043,43564
622,29043,76429,29043,43564
623,29043,76429,29043,43564
624,29043,76429,29043,43564
625,29043,76429,29043,43564
626,29043,76429,29043,43564
627,29043,76429,29043,43564
628,29043,76429,29043,43564
629,29043,76429,29043,43564
630,29043,76429,29043,43564
631,29043,76429,29043,43564
632,29043,76429,29043,43564
633,29043,76429,29043,43564
634,29043,76429,29043,43564
635,29043,76429,29043,43564
636,29043,76429,29043,43564
637,29043,76429,29043,43564
638,29043,76429,29043,43564
639,29043,76429,29043,43564
640,29043,76429,29043,43564
641,29043,76429,29043,43564
642,29043,76429,29043,43564
643,29043,76429,29043,43564
644,29043,76429,29043,43564
645,29043,76429,29043,43564
646,29043,76429,29043,43564
647,29043,76429,29043,43564
648,29043,76429,29043,43564
649,29043,76429,29043,43564
650,29043,76429,29043,43564
651,29043,76429,29043,43564
652,29043,76429,29043,43564
653,29043,76429,29043,43564
654,29043,76429,29043,43564
655,29043,76429,29043,43564
656,29043,76429,29043,43564
657,29043,76429,29043,43564
658,29043,76429,29043,43564
659,29043,76429,29043,43564
660,29043,76429,29043,43564
661,29043,76429,29043,43564
662,29043,76429,29043,43564
663,29043,76429,29043,43564
664,29043,76429,29043,43564
665,29043,76429,29043,43564
666,29043,76429,29043,43564
667,29043,76429,29043,43564
668,29043,76429,29043,43564
669,29043,76429,29043,43564
670,29043,76429,29043,43564
671,29043,76429,29043,43564
672,29043,76429,29043,43564
673,29043,76429,29043,43564
674,29043,76429,29043,43564
675,29043,76429,29043,43564
676,29043,76429,29043,43564
677,29043,76429,29043,43564
678,29043,76429,29043,43564
679,29043,76429,29043,43564
680,29043,76429,29043,43564
681,29043,76429,29043,43564
682,29043,76429,29043,43564
683,29043,76429,29043,43564
684,29043,76429,29043,43564
685,29043,76429,29043,43564
686,29043,76429,29043,43564
687,29043,76429,29043,43564
688,29043,76429,29043,43564
689,29043,76429,29043,43564
690,29043,76429,29043,43564
691,29043,76429,29043,43564
692,29043,76429,29043,43564
693,29043,76429,29043,43564
694,29043,76429,29043,43564
695,29043,76429,29043,43564
696,29043,76429,29043,43564
697,29043,76429,29043,43564
698,29043,76429,29043,43564
699,29043,76429,29043,43564
700,29043,76429,29043,43564
701,29043,76429,29043,43564
702,29043,76429,29043,43564
703,29043,76429,29043,43564
704,29043,76429,29043,43564
705,29043,76429,29043,43564
706,29043,76429,29043,43564
707,29043,76429,29043,43564
708,29043,76429,29043,43564
709,29043,76429,29043,43564
710,29043,76429,29043,43564
711,29043,76429,29043,43564
712,29043,76429,29043,43564
713,29043,76429,29043,43564
714,29043,76429,29043,43564
715,29043,76429,29043,43564
716,29043,76429,29043,43564
717,29043,76429,29043,43564
718,29043,76429,29043,43564
719,29043,76429,29043,43564
720,29043,76429,29043,43564
721,29043,76429,29043,43564
722,29043,76429,29043,43564
723,29043,76429,29043,43564
724,29043,76429,29043,43564
725,29043,76429,29043,43564
726,29043,76429,29043,43564
727,29043,76429,29043,43564
728,29043,76429,29043,43564
729,29043,76429,29043,43564
730,29043,76429,29043,43564
731,29043,76429,29043,43564
732,29043,76429,29043,43564
733,29043,76429,29043,43564
734,29043,76429,29043,43564
735,29043,76429,29043,43564
736,29043,76429,29043,43564
737,29043,76429,29043,43564
738,29043,76429,29043,43564
739,29043,76429,29043,43564
740,29043,76429,29043,43564
741,29043,76429,29043,43564
742,29043,76429,29043,43564
743,29043,76429,29043,43564
744,29043,76429,29043,43564
745,29043,76429,29043,43564
746,29043,76429,29043,43564
747,29043,76429,29043,43564
748,29043,76429,29043,43564
749,29043,76429,29043,43564
750,29043,76429,29043,43564
751,29043,76429,29043,43564
752,29043,76429,29043,43564
753,29043,76429,29043,43564
754,29043,76429,29043,43564
755,29043,76429,29043,43564
756,29043,76429,29043,43564
757,29043,76429,29043,43564
758,29043,76429,29043,43564
759,29043,76429,29043,43564
760,29043,76429,29043,43564
761,29043,76429,29043,43564
762,29043,76429,29043,43564
763,29043,76429,29043,43564
764,29043,76429,29043,43564
765,29043,76429,29043,43564
766,29043,76429,29043,43564
767,29043,76429,29043,43564
768,29043,76429,29043,43564
