County Name,Employed,Total,Manufacturing,Retail,Pro,Public,Service
1,7411,20875,1054,842,402,1330,1168
2,7473,16157,928,1002,350,2118,832
3,22142,45870,5226,2598,964,4562,1780
4,6873,15014,672,663,325,1656,883
5,132226,248007,25223,15572,10314,27295,12114
6,6909,13587,1346,651,261,1437,447
7,6497,15457,1009,663,281,1514,843
8,27080,48971,7348,2947,1640,5529,1669
9,31253,62415,6450,3916,1826,7010,1763
10,15641,34690,3808,1475,553,3125,723
11,29739,56833,5264,2980,2052,5998,2675
12,7528,16644,1331,1309,291,1450,561
13,292242,488073,26108,28973,38394,83850,26778
14,43677,88759,11924,4819,2390,8115,2838
15,13088,27785,2426,1628,960,2266,1772
16,21438,44159,1627,2411,1263,6127,2298
17,22783,43857,3617,3175,1253,5593,2109
18,55262,98736,6193,9734,3874,15517,4941
19,1959,4423,363,243,67,457,229
20,52533,101633,12346,5221,2675,10962,3908
21,3590,9304,436,358,185,801,448
22,26279,51208,4002,3815,1388,6421,2328
23,19921,36842,3724,2620,1272,4215,1149
24,8922,19051,2401,816,353,1547,708
25,12337,23687,1505,2439,792,2623,669
26,2550,5916,347,235,161,596,320
27,9274,20449,1561,914,340,1998,925
28,44617,83686,9865,5237,2970,10269,3600
29,11748,26664,2348,1582,442,2275,1343
30,80892,166426,14631,10736,6776,18352,7162
31,10368,20574,2584,1033,550,1849,550
32,62477,114638,7920,8845,3989,18614,6503
33,8701,16836,1529,1131,408,1601,460
34,8924,19977,1388,1069,458,2001,773
35,14265,28743,3262,1710,712,2718,1071
36,40907,81442,12417,3980,2249,8340,2839
37,70254,134063,14406,8404,4035,15946,5027
38,18906,41749,5141,2042,763,3662,1884
39,6903,15404,1612,683,291,1226,640
40,1481,4232,147,20,51,464,338
41,450441,947735,67630,46305,47352,120181,45201
42,21086,44673,3731,2316,1045,4542,1786
43,19019,37660,4387,1914,940,3677,1184
44,16502,35998,2039,2679,978,4021,1721
45,97516,176695,22517,10782,8555,18869,8307
46,46156,86395,8946,4707,5187,11247,3776
47,3678,7469,541,424,113,816,215
48,22939,41019,4483,2432,1632,5311,2002
49,21224,44205,4941,2304,1325,4564,1664
50,36841,70019,5148,5063,2163,8487,3419
51,6574,14159,2124,572,345,1143,485
52,92275,195408,20723,10233,7760,19593,6805
53,8386,18021,2003,1068,308,1799,618
54,76738,160331,17240,9292,4867,17038,6111
55,6440,14755,1627,813,238,1199,299
56,46673,84345,8630,4988,3966,9759,3281
57,33104,61976,5510,4696,2128,6311,5030
58,7071,16557,690,1015,426,1527,1136
59,20241,41949,4136,2090,906,4011,2293
60,59601,115507,19397,6621,3461,11210,4596
61,10131,20689,2841,954,414,1815,504
62,15184,28816,4399,1438,727,3083,718
63,13375,29773,2158,1493,725,3304,763
64,8978,21430,411,1297,716,1496,1581
65,52366,102228,10177,6030,4051,11450,5790
66,6981,15911,1281,815,417,1511,528
67,72492,131887,17253,8527,5588,14688,4651
68,211181,389891,38477,23794,21534,48018,15902
69,25950,52410,7248,2271,1335,5357,1968
70,10377,24496,2182,986,491,2033,949
71,87046,166994,21384,10304,7253,17910,7696
72,36703,74749,7063,4231,1692,9699,2740
73,36703,74749,7063,4231,1692,9699,2740
74,36703,74749,7063,4231,1692,9699,2740
75,36703,74749,7063,4231,1692,9699,2740
76,36703,74749,7063,4231,1692,9699,2740
77,36703,74749,7063,4231,1692,9699,2740
78,36703,74749,7063,4231,1692,9699,2740
79,36703,74749,7063,4231,1692,9699,2740
80,36703,74749,7063,4231,1692,9699,2740
81,36703,74749,7063,4231,1692,9699,2740
82,36703,74749,7063,4231,1692,9699,2740
83,36703,74749,7063,4231,1692,9699,2740
84,36703,74749,7063,4231,1692,9699,2740
85,36703,74749,7063,4231,1692,9699,2740
86,36703,74749,7063,4231,1692,9699,2740
87,36703,74749,7063,4231,1692,9699,2740
88,36703,74749,7063,4231,1692,9699,2740
89,36703,74749,7063,4231,1692,9699,2740
90,36703,74749,7063,4231,1692,9699,2740
91,36703,74749,7063,4231,1692,9699,2740
92,36703,74749,7063,4231,1692,9699,2740
93,36703,74749,7063,4231,1692,9699,2740
94,36703,74749,7063,4231,1692,9699,2740
95,36703,74749,7063,4231,1692,9699,2740
96,36703,74749,7063,4231,1692,9699,2740
97,36703,74749,7063,4231,1692,9699,2740
98,36703,74749,7063,4231,1692,9699,2740
99,36703,74749,7063,4231,1692,9699,2740
100,36703,74749,7063,4231,1692,9699,2740
101,36703,74749,7063,4231,1692,9699,2740
102,36703,74749,7063,4231,1692,9699,2740
103,36703,74749,7063,4231,1692,9699,2740
104,36703,74749,7063,4231,1692,9699,2740
105,36703,74749,7063,4231,1692,9699,2740
106,36703,74749,7063,4231,1692,9699,2740
107,36703,74749,7063,4231,1692,9699,2740
108,36703,74749,7063,4231,1692,9699,2740
109,36703,74749,7063,4231,1692,9699,2740
110,36703,74749,7063,4231,1692,9699,2740
111,36703,74749,7063,4231,1692,9699,2740
112,36703,74749,7063,4231,1692,9699,2740
113,36703,74749,7063,4231,1692,9699,2740
114,36703,74749,7063,4231,1692,9699,2740
115,36703,74749,7063,4231,1692,9699,2740
116,36703,74749,7063,4231,1692,9699,2740
